Start Time, Thu Jan 1 00:00:00 GMT+0000 2009,,
Energy calibration,  Offset: 0, Slope: 1, Quadratic: 0
Live Time (s),172800,,
Real Time (s),172808.1813,,
Elapsed Computational,0,,
Spectrum,,,
Channel, Energy (keV), Counts,
951,951,145,
952,952,134,
953,953,156,
954,954,144,
955,955,136,
956,956,144,
957,957,151,
958,958,156,
959,959,167,
960,960,177,
961,961,147,
962,962,145,
963,963,155,
964,964,135,
965,965,135,
966,966,124,
967,967,149,
968,968,133,
969,969,161,
970,970,153,
971,971,121,
972,972,151,
973,973,156,
974,974,148,
975,975,117,
976,976,145,
977,977,140,
978,978,142,
979,979,130,
980,980,127,
981,981,144,
982,982,130,
983,983,126,
984,984,128,
985,985,131,
986,986,118,
987,987,113,
988,988,150,
989,989,134,
990,990,125,
991,991,150,
992,992,140,
993,993,139,
994,994,128,
995,995,148,
996,996,151,
997,997,145,
998,998,151,
999,999,139,
1000,1000,154,
1001,1001,137,
1002,1002,151,
1003,1003,133,
1004,1004,131,
1005,1005,133,
1006,1006,135,
1007,1007,114,
1008,1008,131,
1009,1009,110,
1010,1010,138,
1011,1011,141,
1012,1012,113,
1013,1013,161,
1014,1014,129,
1015,1015,131,
1016,1016,131,
1017,1017,124,
1018,1018,130,
1019,1019,126,
1020,1020,145,
1021,1021,122,
1022,1022,121,
1023,1023,130,
1024,1024,124,
1025,1025,137,
1026,1026,117,
1027,1027,133,
1028,1028,147,
1029,1029,123,
1030,1030,113,
1031,1031,130,
1032,1032,112,
1033,1033,129,
1034,1034,131,
1035,1035,107,
1036,1036,121,
1037,1037,111,
1038,1038,108,
1039,1039,125,
1040,1040,128,
1041,1041,112,
1042,1042,105,
1043,1043,122,
1044,1044,120,
1045,1045,120,
1046,1046,102,
1047,1047,111,
1048,1048,119,
1049,1049,112,
1050,1050,115,
1051,1051,111,
1052,1052,112,
1053,1053,88,
1054,1054,118,
1055,1055,102,
1056,1056,106,
1057,1057,119,
1058,1058,114,
1059,1059,102,
1060,1060,115,
1061,1061,117,
1062,1062,120,
1063,1063,125,
1064,1064,114,
1065,1065,112,
1066,1066,98,
1067,1067,115,
1068,1068,109,
1069,1069,94,
1070,1070,95,
1071,1071,132,
1072,1072,89,
1073,1073,107,
1074,1074,92,
1075,1075,111,
1076,1076,116,
1077,1077,114,
1078,1078,98,
1079,1079,105,
1080,1080,102,
1081,1081,112,
1082,1082,89,
1083,1083,103,
1084,1084,132,
1085,1085,112,
1086,1086,94,
1087,1087,104,
1088,1088,89,
1089,1089,90,
1090,1090,99,
1091,1091,94,
1092,1092,111,
1093,1093,103,
1094,1094,110,
1095,1095,103,
1096,1096,111,
1097,1097,108,
1098,1098,101,
1099,1099,95,
1100,1100,83,
1101,1101,109,
1102,1102,122,
1103,1103,94,
1104,1104,127,
1105,1105,97,
1106,1106,101,
1107,1107,122,
1108,1108,121,
1109,1109,130,
1110,1110,105,
1111,1111,86,
1112,1112,85,
1113,1113,104,
1114,1114,111,
1115,1115,108,
1116,1116,141,
1117,1117,121,
1118,1118,123,
1119,1119,96,
1120,1120,110,
1121,1121,113,
1122,1122,116,
